layers,num_layers,total_neurons,learning_rate,batch_size,epochs,test_accuracy,test_loss,train_accuracy,val_accuracy,training_time
"[256, 128]",2,384,0.001,64,20,0.9797999858856201,0.08995416015386581,0.9991833567619324,0.9797999858856201,61.41180610656738
"[256, 128]",2,384,0.001,128,10,0.9763000011444092,0.0777958557009697,0.9962833523750305,0.9763000011444092,19.137550592422485
"[256, 128]",2,384,0.001,128,20,0.9811999797821045,0.0777481272816658,0.9991333484649658,0.9811999797821045,36.99073839187622
"[256, 128]",2,384,0.01,32,10,0.9589999914169312,0.2438223659992218,0.977483332157135,0.9589999914169312,52.731141567230225
"[256, 128]",2,384,0.01,32,20,0.9684000015258789,0.3603184223175049,0.9857333302497864,0.9684000015258789,103.98498272895813
"[256, 128]",2,384,0.01,64,10,0.967199981212616,0.2209889143705368,0.983299970626831,0.967199981212616,30.56845211982727
"[256, 128]",2,384,0.01,64,20,0.9714999794960022,0.3702191114425659,0.9893166422843933,0.9714999794960022,59.93782114982605
"[256, 128]",2,384,0.01,128,10,0.974399983882904,0.15304501354694366,0.9863333106040955,0.974399983882904,18.84073781967163
"[256, 128]",2,384,0.01,128,20,0.9732999801635742,0.3046829104423523,0.9922500252723694,0.9732999801635742,36.56172323226929
"[256, 128]",2,384,0.1,32,10,0.6258999705314636,1.3529837131500244,0.5946999788284302,0.6258999705314636,52.39900279045105
"[256, 128]",2,384,0.1,32,20,0.5636000037193298,1.6843326091766357,0.5796166658401489,0.5636000037193298,103.49991273880005
"[256, 128]",2,384,0.1,64,10,0.7192000150680542,1.4301648139953613,0.6866000294685364,0.7192000150680542,30.476979970932007
"[256, 128]",2,384,0.1,64,20,0.6416000127792358,1.4824788570404053,0.6210166811943054,0.6416000127792358,58.98531889915466
"[256, 128]",2,384,0.1,128,10,0.84170001745224,0.8553338646888733,0.828000009059906,0.84170001745224,19.802436590194702
"[256, 128]",2,384,0.1,128,20,0.8389000296592712,1.0154094696044922,0.8069166541099548,0.8389000296592712,37.710726737976074
"[512, 256]",2,768,0.001,32,10,0.9828000068664551,0.07780144363641739,0.996066689491272,0.9828000068664551,71.7032322883606
"[512, 256]",2,768,0.001,32,20,0.9794999957084656,0.12788239121437073,0.9984166622161865,0.9794999957084656,138.97041416168213
"[512, 256]",2,768,0.001,64,10,0.979200005531311,0.07478222995996475,0.9964166879653931,0.979200005531311,41.2013578414917
"[512, 256]",2,768,0.001,64,20,0.9811000227928162,0.09997323900461197,0.998033344745636,0.9811000227928162,80.25291800498962
"[512, 256]",2,768,0.001,128,10,0.9825999736785889,0.06423719972372055,0.9981666803359985,0.9825999736785889,23.38678526878357
"[512, 256]",2,768,0.001,128,20,0.9811999797821045,0.07035111635923386,0.9940999746322632,0.9811999797821045,45.638633251190186
"[512, 256]",2,768,0.01,32,10,0.9668999910354614,0.25944653153419495,0.9787166714668274,0.9668999910354614,69.67626094818115
"[512, 256]",2,768,0.01,32,20,0.9675999879837036,0.3919883668422699,0.9855166673660278,0.9675999879837036,138.2102189064026
"[512, 256]",2,768,0.01,64,10,0.9732000231742859,0.20323972404003143,0.9821166396141052,0.9732000231742859,40.54467725753784
"[512, 256]",2,768,0.01,64,20,0.9722999930381775,0.32557469606399536,0.9903666377067566,0.9722999930381775,81.12527656555176
"[512, 256]",2,768,0.01,128,10,0.9663000106811523,0.21033842861652374,0.9877166748046875,0.9663000106811523,23.061270475387573
"[512, 256]",2,768,0.01,128,20,0.9765999913215637,0.26966679096221924,0.9926499724388123,0.9765999913215637,45.21006631851196
"[512, 256]",2,768,0.1,32,10,0.5690000057220459,1.6177281141281128,0.557616651058197,0.5690000057220459,69.57820129394531
"[512, 256]",2,768,0.1,32,20,0.579800009727478,1.8200972080230713,0.5935500264167786,0.579800009727478,137.61954855918884
"[512, 256]",2,768,0.1,64,10,0.6965000033378601,1.0223331451416016,0.7298166751861572,0.6965000033378601,41.354987382888794
"[512, 256]",2,768,0.1,64,20,0.5981000065803528,1.4748731851577759,0.6543833613395691,0.5981000065803528,80.13194942474365
"[512, 256]",2,768,0.1,128,10,0.8450999855995178,0.8174110651016235,0.8156499862670898,0.8450999855995178,23.437310218811035
"[512, 256]",2,768,0.1,128,20,0.8306999802589417,0.8709166049957275,0.8011333346366882,0.8306999802589417,44.978898763656616
"[128, 64, 32]",3,224,0.001,32,10,0.9776999950408936,0.09052225947380066,0.9935666918754578,0.9776999950408936,43.95245575904846
"[128, 64, 32]",3,224,0.001,32,20,0.9775000214576721,0.12447642534971237,0.9967666864395142,0.9775000214576721,86.15381050109863
"[128, 64, 32]",3,224,0.001,64,10,0.9771999716758728,0.09605024755001068,0.9937999844551086,0.9771999716758728,25.42689561843872
"[128, 64, 32]",3,224,0.001,64,20,0.9793999791145325,0.09956815838813782,0.9970666766166687,0.9793999791145325,50.25141620635986
"[128, 64, 32]",3,224,0.001,128,10,0.9747999906539917,0.08456555008888245,0.9939000010490417,0.9747999906539917,16.248616695404053
"[128, 64, 32]",3,224,0.001,128,20,0.9778000116348267,0.11025878041982651,0.9984166622161865,0.9778000116348267,30.514371156692505
"[128, 64, 32]",3,224,0.01,32,10,0.9678999781608582,0.16709844768047333,0.9731000065803528,0.9678999781608582,42.925055742263794
"[128, 64, 32]",3,224,0.01,32,20,0.9642000198364258,0.24537478387355804,0.9803666472434998,0.9642000198364258,83.87977480888367
"[128, 64, 32]",3,224,0.01,64,10,0.968999981880188,0.15606847405433655,0.9779833555221558,0.968999981880188,25.022718906402588
"[128, 64, 32]",3,224,0.01,64,20,0.9695000052452087,0.190437451004982,0.9857833385467529,0.9695000052452087,48.786022424697876
"[128, 64, 32]",3,224,0.01,128,10,0.9726999998092651,0.11119987815618515,0.9813666939735413,0.9726999998092651,15.944264888763428
"[128, 64, 32]",3,224,0.01,128,20,0.9743000268936157,0.16149231791496277,0.9884666800498962,0.9743000268936157,31.04801630973816
"[128, 64, 32]",3,224,0.1,32,10,0.10279999673366547,2.324791669845581,0.10260000079870224,0.10279999673366547,42.77227830886841
"[128, 64, 32]",3,224,0.1,32,20,0.11349999904632568,2.3098349571228027,0.10530000180006027,0.11349999904632568,84.16868543624878
"[128, 64, 32]",3,224,0.1,64,10,0.19009999930858612,1.9270156621932983,0.1952333301305771,0.19009999930858612,25.19551944732666
"[128, 64, 32]",3,224,0.1,64,20,0.0957999974489212,2.3086423873901367,0.10530000180006027,0.0957999974489212,48.412535429000854
"[128, 64, 32]",3,224,0.1,128,10,0.4627000093460083,1.4200439453125,0.4300166666507721,0.4627000093460083,15.804123878479004
"[128, 64, 32]",3,224,0.1,128,20,0.2303999960422516,1.79618501663208,0.22589999437332153,0.2303999960422516,31.63634157180786
"[256, 128, 64]",3,448,0.001,32,10,0.9801999926567078,0.08723068982362747,0.9949333071708679,0.9801999926567078,60.390827655792236
"[256, 128, 64]",3,448,0.001,32,20,0.9814000129699707,0.11283586174249649,0.996666669845581,0.9814000129699707,118.74231743812561
"[256, 128, 64]",3,448,0.001,64,10,0.9790999889373779,0.0778844878077507,0.9951666593551636,0.9790999889373779,35.09112787246704
"[256, 128, 64]",3,448,0.001,64,20,0.979200005531311,0.11544151604175568,0.9973333477973938,0.979200005531311,68.00297403335571
"[256, 128, 64]",3,448,0.001,128,10,0.9782000184059143,0.08793142437934875,0.9950000047683716,0.9782000184059143,21.596874475479126
"[256, 128, 64]",3,448,0.001,128,20,0.979200005531311,0.10429684072732925,0.9977999925613403,0.979200005531311,41.48258662223816
"[256, 128, 64]",3,448,0.01,32,10,0.9577000141143799,0.23852495849132538,0.9761333465576172,0.9577000141143799,58.94498133659363
"[256, 128, 64]",3,448,0.01,32,20,0.9648000001907349,0.22963137924671173,0.9801499843597412,0.9648000001907349,116.43129849433899
"[256, 128, 64]",3,448,0.01,64,10,0.9721999764442444,0.13426004350185394,0.9797666668891907,0.9721999764442444,34.70533990859985
"[256, 128, 64]",3,448,0.01,64,20,0.9690999984741211,0.2568654716014862,0.9866833090782166,0.9690999984741211,66.69602417945862
"[256, 128, 64]",3,448,0.01,128,10,0.972100019454956,0.12896215915679932,0.9830499887466431,0.972100019454956,21.803518533706665
"[256, 128, 64]",3,448,0.01,128,20,0.9745000004768372,0.18008171021938324,0.9890666604042053,0.9745000004768372,41.30975604057312
"[256, 128, 64]",3,448,0.1,32,10,0.09799999743700027,2.3128204345703125,0.10145000368356705,0.09799999743700027,58.40369534492493
"[256, 128, 64]",3,448,0.1,32,20,0.09740000218153,2.306062936782837,0.1043500006198883,0.09740000218153,116.09861135482788
"[256, 128, 64]",3,448,0.1,64,10,0.10279999673366547,2.3086354732513428,0.10324999690055847,0.10279999673366547,34.50942516326904
"[256, 128, 64]",3,448,0.1,64,20,0.19380000233650208,1.7947465181350708,0.1997833400964737,0.19380000233650208,67.42004060745239
"[256, 128, 64]",3,448,0.1,128,10,0.2777999937534332,1.8311246633529663,0.37985000014305115,0.2777999937534332,21.436751127243042
"[256, 128, 64]",3,448,0.1,128,20,0.37599998712539673,1.4931461811065674,0.37744998931884766,0.37599998712539673,41.225363969802856
